Title,Author,Main Genre,Sub Genre,Type,Rating,No. of People rated,Price,Number of Sub-genres
The Complete Novel of Sherlock Holmes,Arthur Conan Doyle,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,19923.0,8.2,11
"Black Holes (L) : The Reith Lectures [Paperback] Hawking, Stephen",Stephen Hawking,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,7686.0,4.8,11
The Kite Runner,Khaled Hosseini,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.6,50016.0,8.53,11
Greenlights: Raucous stories and outlaw wisdom from the Academy Award-winning actor,Matthew McConaughey,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,32040.0,18.87,11
"The Science of Storytelling: Why Stories Make Us Human, and How to Tell Them Better",Will Storr,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,1707.0,16.89,11
Fantastic Beasts and Where to Find Them: The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.5,15122.0,15.23,11
Fantastic Beasts: The Crimes of Grindelwald - The Original Screenplay,J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.6,10152.0,15.23,11
Desperately Seeking Shah Rukh : India's Lonely Young Women and the Search for Intimacy and Independence,Shrayana Bhattacharya,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,539.0,16.89,11
Save the Cat!: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,7060.0,41.24,11
Screenplay,Syd Field,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,3216.0,31.27,11
One Day,David Nicholls,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,4.2,10550.0,43.28,11
SACH KAHUN TOH: AN AUTOBIOGRAPHY,NEENA GUPTA,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.4,1558.0,17.52,11
A PRINCESS REMEMBERS (PB),Maharani Gayatri,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,719.0,27.75,11
The Anatomy of Story,John Truby,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,2871.0,23.24,11
Studio Ghibli: The Complete Works,Studio Ghibli,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.8,226.0,103.48,11
"Story: Style, Structure, Substance, and the Principles of Screenwriting",Robert McKee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.7,2653.0,126.73,11
BRUCE LEE,Matthew Polly,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.7,915.0,20.57,11
JOURNEYS IN THE WILD,Sir David Attenborough,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,389.0,21.25,11
Speaking Of Films (The Penguin Ray Library),Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,311.0,10.04,11
Jadunama: Javed Akhtar Ek Safar (Hindi),Arvind Mandloi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.3,27.0,65.89,11
"Satyajit Ray Miscellany: On Life, Cinema",Satyajit Ray,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,127.0,19.46,11
Unscripted: Conversations on Life and Ci: Conversations on Life and Cinema,Abhijat Joshi,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.5,309.0,20.52,11
"FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE � THE COMPLETE SCREENPLAY [Hardcover] Rowling, J.K. and Kloves, Steve",J.K. Rowling,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.6,1280.0,28.48,11
Conversations with Mani Ratnam (PB),Baradwaj Rangan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,305.0,18.87,11
Hitchcock,Francois Truffaut,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.7,787.0,70.98,11
Indian Cinema: A Very Short Introduction (Very Short Introductions),Ashish Rajadhyaksha,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.2,22.0,8.56,11
Basu Chatterji And Middle-of-the-Road Ci: And Middle-of-the-Road Cinema,Anirudha Bhattacharjee,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.8,22.0,20.04,11
Changing The Lens: Exploring The Depths Of Film And Philosophy,Dr Ruplekha Khullar & Sulagna Pal,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,0.0,0.0,21.59,11
This Life at Play: Memoirs,Girish Karnad,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.6,168.0,16.69,11
The Supernatural Quiz Book: 500 Questions and Answers on Supernatural: 500 Questions and Answers on Supernatural Season 1,Light Bulb Quizzes,"Arts, Film & Photography",Cinema & Broadcast,Paperback,5.0,4.0,19.6,11
Avatar: The Last Airbender The Art of the Animated Series (Second Edition),Michael Dante DiMartino,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.9,1615.0,104.22,11
On Directing Film,David Mamet,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,848.0,29.5,11
The Magic of MinaLima: Celebrating the Graphic Design Studio Behind the Harry Potter & Fantastic Beasts Films,MinaLima,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.8,595.0,82.96,11
ILLUSION OF LIFE,Frank Thomas,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.9,1903.0,197.91,11
Sara Aakash [Paperback] Rajendra Yadav,Rajendra Yadav,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,177.0,6.36,11
The Nutshell Technique: Crack the Secret of Successful Screenwriting,Jill Chamberlain,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.6,593.0,21.75,11
Pixar Storytelling: Rules for Effective Storytelling Based on Pixar's Greatest Films,Dean Movshovitz,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,778.0,69.92,11
Madhubala: Her Real Life Story (General Press),Manju Gupta,"Arts, Film & Photography",Cinema & Broadcast,Paperback,3.6,400.0,6.55,11
Jiya Jale: The Stories of Songs,Gulzar (In conversation with Nasreen Munni Kabir),"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.6,289.0,18.68,11
Will,Will Smith,"Arts, Film & Photography",Cinema & Broadcast,Audible Audiobook,4.6,22078.0,53.03,11
Mahanati savitri- venditera samragni (Mahanati savitri- venditera samragni),pallavi rg,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,4.5,22.0,12.13,11
The Musical Maverick: The Authorized Biography of Shankar Mahadevan,Ashis Ghatak,"Arts, Film & Photography",Cinema & Broadcast,Hardcover,0.0,0.0,29.6,11
"Winter Kisses at Roseford Café: A escapist, romantic festive read from Fay Keenan",Fay Keenan,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.4,1423.0,9.32,11
Sara Aakash Patkatha (Hindi Edition),Rajendra Yadav & Basu Chatterji,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.4,177.0,7.13,11
"Bondhu: My Father, My Friend (The India List)",Kunal Sen,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.4,14.0,16.79,11
Batman Begins: The Screenplay: Including Storyboards and Exclusive Interviews,Christopher Nolan,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.5,46.0,77.44,11
The Science of Interstellar,Kip Thorne,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.7,2048.0,87.09,11
"STORY MAPS: The Dark Knight Trilogy (Batman Begins, The Dark Knight, The Dark Knight Rises)",Daniel Calvisi,"Arts, Film & Photography",Cinema & Broadcast,Kindle Edition,4.2,9.0,3.95,11
"Animator's Survival Kit, The",Richard E. Williams,"Arts, Film & Photography",Cinema & Broadcast,Paperback,4.8,6242.0,118.15,11
Beyond the Story: 10-Year Record of BTS,BTS and Myeongseok Kang,"Arts, Film & Photography",Music,Hardcover,4.7,5422.0,48.47,11
THE ARTIST'S WAY,Julia Cameron,"Arts, Film & Photography",Music,Paperback,4.5,10871.0,25.18,11
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 1,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,4.6,642.0,38.86,11
Malibu Rising,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,4.2,70056.0,13.54,11
Six String Entertainment Pvt Ltd Blank Music manuscript book- 12 Stave : 32 pages (16 sheets),SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,4.4,259.0,12.08,11
Piano 2021-2023. Grade 1,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.5,878.0,29.06,11
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.6,317.0,37.12,11
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Initial Grade: And Technical Work - Initial Grade,Joanna Clarke,"Arts, Film & Photography",Music,Sheet music,4.4,662.0,32.95,11
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 3,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,4.6,237.0,47.35,11
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 2: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.4,7.0,44.78,11
John Thompson's Easiest Piano Course - Part 1 - Book Only: Part 1 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,4.5,5471.0,28.38,11
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 3: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.6,14.0,92.82,11
Trinity College London Acoustic Guitar Exam Pieces 2020–2023: Initial–Grade 2: Initial to Grade 2,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.5,379.0,103.79,11
"Six String Entertainment Pvt Ltd Music manuscript Book- 12 stave: 100 pages, 50 Sheet (Leaves)",SIX STRING MUSIC,"Arts, Film & Photography",Music,Paperback,4.4,100.0,16.98,11
"WHEN IN ROME: The charming new rom-com from the author of the TikTok sensation, THE CHEAT SHEET!",Sarah Adams,"Arts, Film & Photography",Music,Paperback,4.2,6960.0,21.11,11
John Thompson's Modern Course for the Piano - First Grade (Book Only): First Grade - English: The First Grade Book : Something New Every Lesson,John Thompson,"Arts, Film & Photography",Music,Paperback,4.7,2992.0,29.11,11
"Theory of Music Workbook Grade 1 (2007): Ursula Moray Williams, Gobbolino and the Little Wooden Horse",Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.6,990.0,39.33,11
Lekin,Edited by Dr. Kumar Vishwas Jon (Jaun Elia),"Arts, Film & Photography",Music,Paperback,4.4,84.0,11.26,11
Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 2,Trinity College London Press,"Arts, Film & Photography",Music,Sheet music,4.6,383.0,38.91,11
Alfred's Basic Piano Library: Prep Course Lesson Book Level B,Willard Palmer,"Arts, Film & Photography",Music,Paperback,4.8,769.0,28.14,11
Sangeeta Bala Padam - Varnam Part 2,Giri,"Arts, Film & Photography",Music,Paperback,4.6,291.0,9.41,11
Standard Wirebound Manuscript Paper (Green Cover),Hal Leonard,"Arts, Film & Photography",Music,Spiral-bound,4.7,9115.0,21.88,11
Sangeeta Bala Padam - Varnam Part - 2 (Hardcover),Giri,"Arts, Film & Photography",Music,Hardcover,4.8,59.0,10.67,11
THE CHEAT SHEET: TikTok made me buy it! The friends-to-lovers rom-com hit sensation!,Sarah Adams,"Arts, Film & Photography",Music,Paperback,4.2,17341.0,20.04,11
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: 12 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.8,12.0,44.83,11
Just Kids,Patti Smith,"Arts, Film & Photography",Music,Paperback,4.5,9371.0,36.88,11
Daisy Jones and The Six,Taylor Jenkins Reid,"Arts, Film & Photography",Music,Paperback,4.3,82376.0,16.21,11
Hindustani Sangeet Paddhati Kramik Pustak Malika Part 1,Pandit Vishnu Narayan Bhatkhande,"Arts, Film & Photography",Music,Hardcover,4.1,96.0,6.79,11
Trinity College London Electronic Keyboard Exam Pieces & Technical Work 2019-2022: Grade 4,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.7,173.0,43.81,11
"Raag Parichay Part 1, 2, 3, and 4 (Combo Set of 4 Books)",Pt. Harishchandra Shrivastava,"Arts, Film & Photography",Music,Paperback,4.5,1080.0,33.96,11
Kotha Sangeeta Vidyadarpanam,Sri Ekha Subba Rao,"Arts, Film & Photography",Music,Paperback,4.4,47.0,22.22,11
John Thompson's Easiest Piano Course - Part 2 - Book Only: Part 2 - Book Only,John Thompson,"Arts, Film & Photography",Music,Paperback,4.7,1743.0,24.02,11
"Alfred's Basic Adult Piano Course Lesson Book, Bk 1",Willard A Palmer,"Arts, Film & Photography",Music,Paperback,4.7,4243.0,54.39,11
"Discovering Music Theory, The ABRSM Grade 1 Workbook",ABRSM,"Arts, Film & Photography",Music,Sheet music,4.7,1505.0,41.24,11
Sanchita's Bollywood Song Notations - Book 2 (Hindi),Sanchita Pandey,"Arts, Film & Photography",Music,Paperback,4.5,15.0,24.26,11
J I YA JALE THE STORIES OF SONGS,Nasreen Munni Kabir Gulzar,"Arts, Film & Photography",Music,Paperback,4.6,289.0,14.02,11
"Violin Scales, Arpeggios & Studies Initial-Grade 8 From 2016",Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.7,246.0,72.0,11
Net Sangeet,Dr. Tejsingh Taak,"Arts, Film & Photography",Music,Paperback,4.4,98.0,14.31,11
Trinity College London Piano Exam Pieces Plus Exercises 2021-2023: Initial - Extended Edition,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.5,161.0,55.41,11
Concepts Of Vocal Music Class 12 (Second Edition),Pt. Satish Chandra Srivastava,"Arts, Film & Photography",Music,Hardcover,4.5,8.0,7.71,11
"Piano Adventures, Primer Level, Lesson Book",Nancy Faber,"Arts, Film & Photography",Music,Paperback,4.8,6322.0,37.46,11
Ganamrutha Bodhini Sangeetha Bala Padam English & Varna Malika (English) latest versions,Sangeetha Vidwan A.S. Panchapakesa Iyer,"Arts, Film & Photography",Music,Paperback,4.6,82.0,41.24,11
Trinity College London Piano Exam Pieces Plus Exercises from 2023: Grade 1: Extended Edition: 21 Pieces for Trinity College London Exams from 2023,Trinity College London,"Arts, Film & Photography",Music,Sheet music,4.4,5.0,75.3,11
Best of Taylor Swift : Song collection,Aishi,"Arts, Film & Photography",Music,Paperback,3.9,9.0,12.62,11
Learn Your Fretboard: The Essential Memorization Guide for Guitar (Book + Online Bonus),Luke Zecchin,"Arts, Film & Photography",Music,Paperback,4.4,464.0,31.39,11
Bollywood Odyssey: The Singing Taxman's Journey Into Film Music,Ajay Mankotia,"Arts, Film & Photography",Music,Paperback,4.4,11.0,32.75,11
"ABRSM Grade 3 Theory Workbook, Discovering Music Theory(New Syllabus 2021)",ABRSM Publication,"Arts, Film & Photography",Music,Paperback,4.7,4.0,48.03,11
"Solfège Des Solfèges, Complete, Book I, Book II and Book III: 337 Sight Singing Exercises",A. Dannhäuser,"Arts, Film & Photography",Music,Paperback,4.7,5.0,113.97,11
A History of Heavy Metal: 'Absolutely hilarious' – Neil Gaiman,Andrew O'Neill,"Arts, Film & Photography",Music,Paperback,4.4,549.0,31.49,11
John Thompson's Modern Course for the Piano 1,John Thompson,"Arts, Film & Photography",Music,Paperback,4.6,88.0,35.9,11
Harry Potter and the Cursed Child - Parts One and Two: The Official Playscript of the Original West End Production,J.K. Rowling,"Arts, Film & Photography",Theater & Ballet,Kindle Edition with Audio/Video,4.4,86578.0,12.03,11
Waiting for Godot : A Tragicomedy in Two: A Tragicomedy in Two Acts (Faber Drama),Samuel Beckett,"Arts, Film & Photography",Theater & Ballet,Paperback,4.4,614.0,13.05,11
"Nandikeshwar's Abhinaya Darpanam, Revised & Enlarged",Manmohan Ghosh,"Arts, Film & Photography",Theater & Ballet,Hardcover,4.2,147.0,9.7,11
"The Courtesan, The Mahatma And The Italian Brahmin : Tales From Indian History",Manu S. Pillai,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.4,783.0,16.59,11
Greatest Comedies of Shakespeare Deluxe Hardbound Edition,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Hardcover,4.5,367.0,22.76,11
காதல் ஔஷதம் நீ (Tamil Edition),அஞ்சனா  சுபி,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.3,44.0,16.5,11
So That Happened: A Romantic Comedy (Donovan Family Book 1),Katie Bailey,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.1,5984.0,20.18,11
On Cloud Nine (Perks & Benefits Book 3),Denise Stone,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,3.9,780.0,20.14,11
மௌனக்குமிழ்கள் (Tamil Edition),சுகமதி Sugamathi,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.2,17.0,14.99,11
Plays: Ivanov/The Seagull/Uncle Vanya/Three Sisters/The Cherry Orchard (Penguin Classics) Anton Chekhov,Anton Chekhov,"Arts, Film & Photography",Theater & Ballet,Paperback,4.6,367.0,14.49,11
Poetics (Penguin Classics),Aristotle,"Arts, Film & Photography",Theater & Ballet,Paperback,4.5,602.0,10.0,11
சுடரொளியாய் வெளிச்சமூட்டு: SUDAROLIYAI VELICHAMOOTU (Tamil Edition),அஞ்சனா  சுபி,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.2,94.0,15.77,11
"How to Write Funny: Your Serious, Step-By-Step Blueprint For Creating Incredibly, Irresistibly, Successfully Hilarious Writing",Scott Dikkers,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.4,679.0,11.4,11
The Science of Storytelling,Will Storr,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,4.5,1707.0,56.87,11
Four Great Comedies,William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Mass Market Paperback,4.6,89.0,12.89,11
"Hayvadan [Hardcover] Girish Karnad, Tr. B.V. Karant",Tr. B.V. Karant Girish Karnad,"Arts, Film & Photography",Theater & Ballet,Paperback,4.6,39.0,14.6,11
Stella Adler: The Art of Acting,Howard Kissel,"Arts, Film & Photography",Theater & Ballet,Audible Audiobook,4.7,869.0,32.41,11
அசுரனின் காதல் (Tamil Edition),Ebin Rider,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,5.0,1.0,19.41,11
BEFORE & LAUGHTER,Jimmy Carr,"Arts, Film & Photography",Theater & Ballet,Paperback,4.4,3198.0,33.09,11
BUILDING A CHARACTER,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,4.7,456.0,18.0,11
"Storyworthy: Engage, Teach, Persuade, and Change Your Life Through the Power of Storytelling",Matthew Dicks,"Arts, Film & Photography",Theater & Ballet,Paperback,4.6,1618.0,69.14,11
An Actor Prepares,Constantin Stanislavski,"Arts, Film & Photography",Theater & Ballet,Paperback,4.5,1521.0,27.56,11
Gulmohar,Kale V.P.,"Arts, Film & Photography",Theater & Ballet,Paperback,4.4,122.0,5.34,11
Film Lighting: Talks with Hollywood's Cinematographers and Gaffers [Paperback] Kris Malkiewicz,Kris Malkiewicz,"Arts, Film & Photography",Theater & Ballet,Paperback,4.6,156.0,30.47,11
Thirteen Plays of Bhasa: (2 Vols. Bound in One),A.C. Woolner Lakshman Sarup,"Arts, Film & Photography",Theater & Ballet,Hardcover,0.0,0.0,33.72,11
James Acaster's Guide to Quitting Social Media,James Acaster,"Arts, Film & Photography",Theater & Ballet,Hardcover,4.0,338.0,62.11,11
The Quite Nice and Fairly Accurate Good Omens Script Book,Neil Gaiman,"Arts, Film & Photography",Theater & Ballet,Paperback,4.8,1543.0,37.21,11
"Funny Jokes for 15 Year Old Teens: The Ultimate Q&A, One-Liner, Dad, Knock-Knock, Riddle, and Tongue Twister Collection! Hilarious and Silly Humor for Teenagers",Cooper The Pooper,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,5.0,1.0,8.01,11
Drama Games for Those Who Like to Say No,Chris Johnston,"Arts, Film & Photography",Theater & Ballet,Paperback,4.5,71.0,45.14,11
"BOLLYWOOD, BOX OFFICE AND BEYOND: The Evolving Business of Indian Cinema",Lata Jha,"Arts, Film & Photography",Theater & Ballet,Paperback,4.3,7.0,9.66,11
अभिनेता जीवन-एक संघर्ष: Evaluate yourself before you enter in the industry! (Hindi Edition),Pankaj Gupta,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,5.0,1.0,4.8,11
The Voice Exercise Book: A Guide to Healthy and Effective Voice Use,Jeannette Nelson,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.7,74.0,33.76,11
The Oxford Guide to Plays (Oxford Quick Reference),Michael Patterson,"Arts, Film & Photography",Theater & Ballet,Paperback,4.3,15.0,89.91,11
William Shakespeare: The Complete Works (Illustrated),William Shakespeare,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,4.6,1059.0,4.19,11
Sanford Meisner on Acting,Dennis Longwell,"Arts, Film & Photography",Theater & Ballet,Paperback,4.6,1693.0,30.18,11
Discover India: Festivals of India,Sonia Mehta,"Arts, Film & Photography",Theater & Ballet,Paperback,4.4,165.0,6.26,11
Days of Reading (Penguin Great Ideas),Marcel Proust,"Arts, Film & Photography",Theater & Ballet,Mass Market Paperback,4.3,57.0,9.7,11
101 Foolproof Jokes to Use in Case of Emergency,Adam Kisiel,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,3.6,562.0,9.66,11
Kishore Kumar: The Ultimate Biography,Anirudha Bhattacharjee,"Arts, Film & Photography",Theater & Ballet,Paperback,4.7,283.0,23.73,11
"Basketball (and Other Things): A Collection of Questions Asked, Answered, Illustrated",Shea Serrano,"Arts, Film & Photography",Theater & Ballet,Paperback,4.8,1765.0,64.92,11
"Everyone You Hate is Going to Die: And Other Comforting Thoughts on Family, Friends, Sex, Love, and More Things That Ruin Your Life",Daniel Sloss,"Arts, Film & Photography",Theater & Ballet,Paperback,4.6,967.0,26.73,11
Marainthirunthu Paarkum Marmam Enna..!!!: மறைந்திருந்து பார்க்கும் மர்மம் என்ன..!!! (Tamil Edition),Thiyashi Vijay,"Arts, Film & Photography",Theater & Ballet,Kindle Edition,5.0,3.0,12.13,11
A Bird on My Windowsill,Manav Kaul,"Arts, Film & Photography",Theater & Ballet,Hardcover,4.5,2.0,15.72,11
The Guide for Every Screenwriter: From Synopsis to Subplots: The Secrets of Screenwriting Revealed,Geoffrey D Calhoun,"Arts, Film & Photography",Theater & Ballet,Paperback,4.5,98.0,30.57,11
Physics Galaxy 2024: JEE Advanced - Physics - Chapter wise PYQ Analysis by Ashish Arora,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,4.4,75.0,10.38,11
Physics Galaxy 2024: Physics - 23 Years' NEET - Chapter-wise & Topic-Wise Solutions (2001-2023) by Ashish Arora,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,4.3,37.0,10.92,11
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and TikTok sensation",Alex Michaelides,"Arts, Film & Photography",Theory & Criticism,Kindle Edition,4.5,291822.0,9.45,11
Physics Galaxy 2023 : Vol.3A Electrostatics & Current Electricity 3rd Edition,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,4.3,110.0,18.73,11
PHYSICS GALAXY 2023 : VOL.1 - MECHANICS 3RD EDITION,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,4.5,202.0,22.42,11
Letters of Vincent Van Gogh (Penguin Classics),Vincent Van Gogh,"Arts, Film & Photography",Theory & Criticism,Paperback,4.6,1105.0,14.51,11
"PHYSICS GALAXY : VOL.3B - MAGNETISM, EMI & ALTERNATING CURRENT 3RD EDITION: Vol.3B - Magnetism, EMI & Alternating Current 3rd edition by Ashish Arora",Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,4.2,86.0,14.99,11
"Design as Art (Penguin Modern Classics) Munari, Bruno",Bruno Munari,"Arts, Film & Photography",Theory & Criticism,Paperback,4.5,1054.0,19.7,11
"Physics Galaxy : Vol.2  Thermodynamics, Oscillations  & Waves 3rd edition",Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,4.4,80.0,20.38,11
History Optional - Modern India & World History - Previous Years UPSC Solved Papers 1979-2022 2ed by Rashid Yasin,Rashid Yasin,"Arts, Film & Photography",Theory & Criticism,Paperback,4.5,59.0,21.59,11
Physics Galaxy : Vol. IV Optics & Modern Physics (3rd edition) by Ashish Arora,Ashish Arora,"Arts, Film & Photography",Theory & Criticism,Paperback,4.4,69.0,20.86,11
UPPSC 2023 Previous Years' Topic-Wise Solved Papers  - Paper I 2003-22 & Solved Paper II 2012-22 4ed by Sheelwant Singh & Sarika: Previous Years' ... & Solved Paper II 2012-22 4ed by Access,Sheelwant Singh,"Arts, Film & Photography",Theory & Criticism,Paperback,4.4,65.0,15.87,11
Geronimo Stilton and the Kingdom of Fantasy #7: The Enchanted Charms,Geronimo Stilton,"Arts, Film & Photography",Theory & Criticism,Hardcover,4.6,2358.0,18.92,11
History Optional 2023 - Ancient & Medieval India - Previous Years UPSC Solved Papers (1979 - 2022) 2ed by Rashid Yasin,Rashid Yasin,"Arts, Film & Photography",Theory & Criticism,Paperback,4.3,84.0,19.75,11
"The Complete Color Harmony, Pantone Edition: Expert Color Information for Professional Results",Leatrice Eiseman,"Arts, Film & Photography",Theory & Criticism,Flexibound,4.7,1012.0,48.37,11
Pretentiousness: Why It Matters,Dan Fox,"Arts, Film & Photography",Theory & Criticism,Paperback,4.2,72.0,59.19,11
IELTS Academic+ General Test: Listening Book by Career Launcher,Career Launcher,"Arts, Film & Photography",Theory & Criticism,Paperback,3.8,77.0,4.75,11
RRB 2022-23 - Junior Engineer CBT -I & II - Civil Engineering - Guide by GKP,GKP,"Arts, Film & Photography",Theory & Criticism,Paperback,4.5,10.0,23.44,11
Watercolour Demonstrations,Milind Mulick,"Arts, Film & Photography",Theory & Criticism,Paperback,4.6,149.0,8.73,11
Pretentiousness: Why it Matters,Dan Fox,"Arts, Film & Photography",Theory & Criticism,Kindle Edition,4.2,72.0,25.43,11
IELTS Academic + General Test: Reading Book by Career Launcher,Career Launcher,"Arts, Film & Photography",Theory & Criticism,Paperback,3.8,88.0,7.08,11
"Map Entries for History Optional 3ed by Rashid Yasin, Ranjan Singh",Rashid Yasin,"Arts, Film & Photography",Theory & Criticism,Paperback,4.2,110.0,10.82,11
GATE 2024 Architecture & Planning Vol 1 - Guide by Ar. Jinisha Jain,Jinisha Jain,"Arts, Film & Photography",Theory & Criticism,Paperback,4.3,51.0,38.52,11
இரவின் நிமிடங்கள் (Tamil Edition),ஜில் ஜில்  சிங்காரி ,"Arts, Film & Photography",Theory & Criticism,Kindle Edition,2.7,4.0,29.06,11
Paryavaran Evam Paristhithiki 6e by Dr. Majid Husain Hindi,Dr Majid Husain,"Arts, Film & Photography",Theory & Criticism,Paperback,4.6,60.0,17.95,11
The Battle Of Rezang La: The true story of how 120 Indian soldiers faced 5000 Chinese troops | Essential Indian Army Books on War | Penguin Non-fiction,Kulpreet Yadav,"Arts, Film & Photography",Theory & Criticism,Paperback,4.8,436.0,13.73,11
IELTS Academic+ General Test: Grammar Book by Career Launcher,Career Launcher,"Arts, Film & Photography",Theory & Criticism,Paperback,4.8,62.0,7.43,11
Klimt: The Kiss Jigsaw: 1000 Piece Jigsaw,Flame Tree Studio,"Arts, Film & Photography",Theory & Criticism,Puzzle,4.4,170.0,54.2,11
